ID,name,link,summit,drop,beginner runs,intermediate runs,advanced runs,expert runs,state
120,Ski China Peak,https://www.onthesnow.com/california/ski-china-peak/ski-resort.html,8709ft,1679ft,6,15,17,15,california
121,Cooper,https://www.onthesnow.com/colorado/ski-cooper/ski-resort.html,11700ft,1200ft,10,16,18,15,colorado
122,Smugglers' Notch Resort,https://www.onthesnow.com/vermont/smugglers-notch-resort/ski-resort.html,3640ft,2610ft,13,41,20,4,vermont
123,Snowshoe Mountain,https://www.onthesnow.com/west-virginia/snowshoe-mountain-resort/ski-resort.html,4848ft,1500ft,24,20,15,1,west-virginia
124,Suicide Six,https://www.onthesnow.com/vermont/suicide-six/ski-resort.html,1200ft,650ft,7,10,7,0,vermont
125,Vail,https://www.onthesnow.com/colorado/vail/ski-resort.html,11570ft,3450ft,37,57,94,8,colorado
126,Wintergreen Resort,https://www.onthesnow.com/virginia/wintergreen-resort/ski-resort.html,3515ft,1003ft,6,9,11,0,virginia
127,Eagle Point,https://www.onthesnow.com/utah/eagle-point/ski-resort.html,10600ft,1500ft,8,14,18,0,utah
128,Dodge Ridge,https://www.onthesnow.com/california/dodge-ridge/ski-resort.html,8200ft,1600ft,13,27,27,0,california
129,Boyne Mountain Resort,https://www.onthesnow.com/michigan/boyne-mountain-resort/ski-resort.html,1120ft,500ft,29,17,12,2,michigan
130,Dry Hill Ski Area,https://www.onthesnow.com/new-york/dry-hill-ski-area/ski-resort.html,950ft,300ft,2,2,2,0,new-york
131,Nubs Nob Ski Area,https://www.onthesnow.com/michigan/nubs-nob-ski-area/ski-resort.html,1338ft,427ft,16,26,11,0,michigan
132,Granite Peak Ski Area,https://www.onthesnow.com/wisconsin/granite-peak-ski-area/ski-resort.html,1942ft,700ft,14,14,26,4,wisconsin
133,Showdown Montana,https://www.onthesnow.com/montana/showdown-ski-area/ski-resort.html,8200ft,1400ft,10,16,10,0,montana
134,Snow Valley,https://www.onthesnow.com/california/snow-valley/ski-resort.html,7841ft,1041ft,4,13,11,4,california
135,Spring Mountain Ski Area,https://www.onthesnow.com/pennsylvania/spring-mountain-ski-area/ski-resort.html,528ft,450ft,3,4,1,0,pennsylvania
136,Sunday River,https://www.onthesnow.com/maine/sunday-river/ski-resort.html,3140ft,2340ft,40,49,24,22,maine
137,Sundown Mountain,https://www.onthesnow.com/iowa/sundown-mountain/ski-resort.html,1059ft,475ft,6,13,0,2,iowa
138,Sunlight Mountain Resort,https://www.onthesnow.com/colorado/sunlight-mountain-resort/ski-resort.html,9895ft,2010ft,12,21,12,27,colorado
139,Winterplace Ski Resort,https://www.onthesnow.com/west-virginia/winterplace-ski-resort/ski-resort.html,3600ft,603ft,10,11,6,0,west-virginia
140,Oak Mountain,https://www.onthesnow.com/new-york/oak-mountain/ski-resort.html,2400ft,650ft,10,6,4,2,new-york
141,Arapahoe Basin Ski Area,https://www.onthesnow.com/colorado/arapahoe-basin-ski-area/ski-resort.html,13050ft,2530ft,6,35,57,49,colorado
142,Boyne Highlands,https://www.onthesnow.com/michigan/boyne-highlands/ski-resort.html,1290ft,552ft,20,17,17,1,michigan
143,Breckenridge,https://www.onthesnow.com/colorado/breckenridge/ski-resort.html,12998ft,3398ft,24,43,67,52,colorado
144,Brian Head Resort,https://www.onthesnow.com/utah/brian-head-resort/ski-resort.html,10970ft,1548ft,21,25,23,2,utah
145,Loveland,https://www.onthesnow.com/colorado/loveland/ski-resort.html,13010ft,2210ft,12,39,19,24,colorado
146,Massanutten,https://www.onthesnow.com/virginia/massanutten/ski-resort.html,2925ft,1110ft,4,5,3,0,virginia
147,Mount Southington Ski Area,https://www.onthesnow.com/connecticut/mount-southington-ski-area/ski-resort.html,525ft,425ft,6,6,2,0,connecticut
148,Seven Springs,https://www.onthesnow.com/pennsylvania/seven-springs/ski-resort.html,2994ft,750ft,12,14,6,1,pennsylvania
149,Sundance,https://www.onthesnow.com/utah/sundance/ski-resort.html,8250ft,2150ft,16,20,9,0,utah
150,Bromley Mountain,https://www.onthesnow.com/vermont/bromley-mountain/ski-resort.html,3284ft,1334ft,14,17,15,1,vermont
151,Maple Ski Ridge,https://www.onthesnow.com/new-york/maple-ski-ridge/ski-resort.html,1200ft,450ft,1,4,4,0,new-york
152,Whiteface Mountain Resort,https://www.onthesnow.com/new-york/whiteface-mountain-resort/ski-resort.html,4650ft,3430ft,21,39,29,0,new-york
153,Snow King Resort,https://www.onthesnow.com/wyoming/snow-king-resort/ski-resort.html,7808ft,1571ft,6,8,14,6,wyoming
154,Ski Apache,https://www.onthesnow.com/new-mexico/ski-apache/ski-resort.html,11500ft,1900ft,9,7,1,0,new-mexico
155,West Mountain,https://www.onthesnow.com/new-york/west-mountain/ski-resort.html,1470ft,1010ft,10,16,3,0,new-york
156,Arizona Snowbowl,https://www.onthesnow.com/arizona/arizona-snowbowl/ski-resort.html,11500ft,2300ft,12,24,12,7,arizona
157,Buena Vista Ski Area,https://www.onthesnow.com/minnesota/buena-vista-ski-area/ski-resort.html,1510ft,230ft,3,9,4,0,minnesota
158,Ski Butternut,https://www.onthesnow.com/massachusetts/ski-butternut/ski-resort.html,1800ft,1000ft,8,8,6,0,massachusetts
159,Hyland Ski & Snowboard Area,https://www.onthesnow.com/minnesota/hyland-ski-snowboard-area/ski-resort.html,1075ft,175ft,3,4,4,0,minnesota
160,Monarch Mountain,https://www.onthesnow.com/colorado/monarch-mountain/ski-resort.html,11952ft,1162ft,15,17,24,8,colorado
161,Mount Kato Ski Area,https://www.onthesnow.com/minnesota/mount-kato-ski-area/ski-resort.html,540ft,240ft,4,8,7,0,minnesota
162,Snow Ridge,https://www.onthesnow.com/new-york/snow-ridge/ski-resort.html,2000ft,650ft,2,8,14,0,new-york
163,Meadowlark Ski Lodge,https://www.onthesnow.com/wyoming/meadowlark-ski-lodge/ski-resort.html,9500ft,1000ft,4,4,3,3,wyoming
164,Mount Pleasant of Edinboro,https://www.onthesnow.com/pennsylvania/mount-pleasant-of-edinboro/ski-resort.html,1540ft,340ft,2,6,2,0,pennsylvania
165,Christie Mountain,https://www.onthesnow.com/wisconsin/christie-mountain/ski-resort.html,1650ft,350ft,11,7,9,3,wisconsin
166,Montage Mountain,https://www.onthesnow.com/pennsylvania/sno-mountain/ski-resort.html,1960ft,1000ft,9,8,5,4,pennsylvania
167,Mount Snow,https://www.onthesnow.com/vermont/mount-snow/ski-resort.html,3600ft,1700ft,14,58,14,1,vermont
168,Beaver Creek,https://www.onthesnow.com/colorado/beaver-creek/ski-resort.html,11440ft,3340ft,57,45,36,12,colorado
169,Berkshire East,https://www.onthesnow.com/massachusetts/berkshire-east/ski-resort.html,1720ft,1180ft,12,13,5,3,massachusetts
170,Cannon Mountain,https://www.onthesnow.com/new-hampshire/cannon-mountain/ski-resort.html,4080ft,2180ft,14,51,32,0,new-hampshire
171,Devils Head,https://www.onthesnow.com/wisconsin/devils-head/ski-resort.html,995ft,500ft,7,4,10,2,wisconsin
172,Giants Ridge Resort,https://www.onthesnow.com/minnesota/giants-ridge-resort/ski-resort.html,1972ft,500ft,10,18,7,0,minnesota
173,Killington Resort,https://www.onthesnow.com/vermont/killington-resort/ski-resort.html,4241ft,3050ft,43,51,37,23,vermont
174,Perfect North Slopes,https://www.onthesnow.com/indiana/perfect-north-slopes/ski-resort.html,800ft,400ft,4,11,4,2,indiana
175,Pico Mountain,https://www.onthesnow.com/vermont/pico-mountain-at-killington/ski-resort.html,3967ft,1967ft,10,27,22,2,vermont
176,Powder Ridge Ski Area,https://www.onthesnow.com/minnesota/powder-ridge-ski-area/ski-resort.html,790ft,300ft,9,8,3,0,minnesota
177,Red Lodge Mountain,https://www.onthesnow.com/montana/red-lodge-mountain/ski-resort.html,9416ft,2400ft,13,18,25,14,montana
178,Ski Sundown,https://www.onthesnow.com/connecticut/ski-sundown/ski-resort.html,1075ft,625ft,8,4,3,1,connecticut
179,Thunder Ridge,https://www.onthesnow.com/new-york/thunder-ridge/ski-resort.html,1270ft,500ft,12,12,6,0,new-york
180,Woods Valley Ski Area,https://www.onthesnow.com/new-york/woods-valley-ski-area/ski-resort.html,1400ft,500ft,4,13,4,0,new-york
181,Canaan Valley Resort,https://www.onthesnow.com/west-virginia/canaan-valley-resort/ski-resort.html,4280ft,850ft,9,17,20,1,west-virginia
182,Powder Ridge Park,https://www.onthesnow.com/connecticut/powder-ridge-park/ski-resort.html,720ft,550ft,9,8,3,0,connecticut
183,Angel Fire Resort,https://www.onthesnow.com/new-mexico/angel-fire-resort/ski-resort.html,10677ft,2077ft,18,45,18,0,new-mexico
184,Keystone,https://www.onthesnow.com/colorado/keystone/ski-resort.html,12408ft,3128ft,20,55,52,0,colorado
185,Powderhorn,https://www.onthesnow.com/colorado/powderhorn/ski-resort.html,9850ft,1650ft,8,15,25,2,colorado
186,Snow Trails,https://www.onthesnow.com/ohio/snow-trails/ski-resort.html,1475ft,301ft,3,9,7,0,ohio
187,Sunrise Park Resort,https://www.onthesnow.com/arizona/sunrise-park-resort/ski-resort.html,11100ft,1800ft,33,19,13,4,arizona
188,Waterville Valley,https://www.onthesnow.com/new-hampshire/waterville-valley/ski-resort.html,4004ft,2020ft,10,35,15,2,new-hampshire
189,Holimont Ski Area,https://www.onthesnow.com/new-york/holimont-ski-area/ski-resort.html,2260ft,700ft,14,17,24,0,new-york
190,Bittersweet Ski Area,https://www.onthesnow.com/michigan/bittersweet-ski-area/ski-resort.html,850ft,350ft,7,7,4,0,michigan
191,Bolton Valley,https://www.onthesnow.com/vermont/bolton-valley/ski-resort.html,3150ft,1704ft,24,27,16,4,vermont
192,Bretton Woods,https://www.onthesnow.com/new-hampshire/bretton-woods/ski-resort.html,3100ft,1500ft,14,18,21,9,new-hampshire
193,Camelback Mountain Resort,https://www.onthesnow.com/pennsylvania/camelback-mountain-resort/ski-resort.html,2100ft,800ft,15,10,10,4,pennsylvania
194,Gore Mountain,https://www.onthesnow.com/new-york/gore-mountain/ski-resort.html,3600ft,2537ft,11,55,38,6,new-york
195,Hunter Mountain,https://www.onthesnow.com/new-york/hunter-mountain/ski-resort.html,3200ft,1600ft,17,20,20,10,new-york
196,Loon Mountain,https://www.onthesnow.com/new-hampshire/loon-mountain/ski-resort.html,3050ft,2100ft,12,37,10,2,new-hampshire
197,Magic Mountain Ski Area,https://www.onthesnow.com/idaho/magic-mountain-ski-area/ski-resort.html,7200ft,700ft,3,3,2,3,idaho
198,Mohawk Mountain,https://www.onthesnow.com/connecticut/mohawk-mountain/ski-resort.html,1600ft,650ft,8,12,5,0,connecticut
199,Mountain Creek Resort,https://www.onthesnow.com/new-jersey/mountain-creek-resort/ski-resort.html,1480ft,1040ft,11,21,14,0,new-jersey
200,Mt. Brighton,https://www.onthesnow.com/michigan/mount-brighton/ski-resort.html,1330ft,230ft,6,11,6,2,michigan
201,Mount Holly,https://www.onthesnow.com/michigan/mount-holly/ski-resort.html,1105ft,350ft,6,10,4,0,michigan
202,Mont Ripley,https://www.onthesnow.com/michigan/mont-ripley/ski-resort.html,1140ft,440ft,5,5,9,2,michigan
203,Nordic Mountain,https://www.onthesnow.com/wisconsin/nordic-mountain/ski-resort.html,1137ft,265ft,5,5,6,2,wisconsin
204,Paoli Peaks,https://www.onthesnow.com/indiana/paoli-peaks/ski-resort.html,900ft,300ft,7,5,2,1,indiana
205,Pine Mountain,https://www.onthesnow.com/michigan/pine-mountain/ski-resort.html,1650ft,500ft,35,0,0,0,michigan
206,Schuss Mountain at Shanty Creek,https://www.onthesnow.com/michigan/shanty-creek/ski-resort.html,1125ft,450ft,15,12,15,0,michigan
207,Ski Sawmill,https://www.onthesnow.com/pennsylvania/ski-sawmill/ski-resort.html,2215ft,515ft,5,3,5,0,pennsylvania
208,Windham Mountain,https://www.onthesnow.com/new-york/windham-mountain/ski-resort.html,3100ft,1600ft,11,26,10,7,new-york
209,Spirit Mountain,https://www.onthesnow.com/minnesota/spirit-mountain/ski-resort.html,1320ft,700ft,7,9,6,0,minnesota
210,Tyrol Basin,https://www.onthesnow.com/wisconsin/tyrol-basin/ski-resort.html,1160ft,300ft,6,5,6,1,wisconsin
211,Wildcat Mountain,https://www.onthesnow.com/new-hampshire/wildcat-mountain/ski-resort.html,4062ft,2112ft,10,22,16,0,new-hampshire
212,Yawgoo Valley,https://www.onthesnow.com/rhode-island/yawgoo-valley/ski-resort.html,315ft,245ft,4,5,4,0,rhode-island
213,Ski Big Bear,https://www.onthesnow.com/pennsylvania/big-bear/ski-resort.html,1250ft,650ft,6,5,6,1,pennsylvania
214,Mount Bohemia,https://www.onthesnow.com/michigan/mount-bohemia/ski-resort.html,1500ft,900ft,0,2,8,94,michigan
215,Ski Ward,https://www.onthesnow.com/massachusetts/ski-ward/ski-resort.html,420ft,210ft,3,3,0,3,massachusetts
216,Elm Creek Winter Recreation Area,https://www.onthesnow.com/minnesota/elm-creek/ski-resort.html,928ft,60ft,1,4,0,1,minnesota
217,Hunt Hollow Ski Club,https://www.onthesnow.com/new-york/hunt-hollow-ski-club/ski-resort.html,2030ft,825ft,6,4,7,2,new-york
218,Magic Mountain,https://www.onthesnow.com/vermont/magic-mountain/ski-resort.html,2850ft,1500ft,11,16,9,14,vermont
219,Nordic Valley Resort,https://www.onthesnow.com/utah/wolf-creek/ski-resort.html,6400ft,960ft,12,8,13,2,utah
220,Okemo Mountain Resort,https://www.onthesnow.com/vermont/okemo-mountain-resort/ski-resort.html,3344ft,2200ft,40,46,25,11,vermont
221,Sipapu Ski Resort,https://www.onthesnow.com/new-mexico/sipapu-ski-and-summer-resort/ski-resort.html,9255ft,1055ft,8,17,13,4,new-mexico
222,Belleayre,https://www.onthesnow.com/new-york/belleayre/ski-resort.html,3429ft,1404ft,11,29,5,5,new-york
223,Blue Knob,https://www.onthesnow.com/pennsylvania/blue-knob/ski-resort.html,3146ft,1072ft,5,14,9,6,pennsylvania
224,Shawnee Peak,https://www.onthesnow.com/maine/shawnee-peak/ski-resort.html,1900ft,1350ft,11,19,9,4,maine
225,The Omni Homestead Resort,https://www.onthesnow.com/virginia/the-homestead-ski-area/ski-resort.html,3200ft,700ft,3,6,1,0,virginia
226,Mount Sunapee,https://www.onthesnow.com/new-hampshire/mount-sunapee/ski-resort.html,2743ft,1510ft,20,30,7,9,new-hampshire
227,Attitash,https://www.onthesnow.com/new-hampshire/attitash/ski-resort.html,2350ft,1750ft,18,31,19,0,new-hampshire
228,Catamount,https://www.onthesnow.com/new-york/catamount-ski-ride-area/ski-resort.html,2000ft,1000ft,15,13,6,4,new-york
229,Nashoba Valley,https://www.onthesnow.com/massachusetts/nashoba-valley/ski-resort.html,440ft,240ft,4,8,5,0,massachusetts
230,Plattekill Mountain,https://www.onthesnow.com/new-york/plattekill-mountain/ski-resort.html,3500ft,1100ft,8,15,8,8,new-york
231,Whitetail Resort,https://www.onthesnow.com/pennsylvania/whitetail-resort/ski-resort.html,1800ft,935ft,6,11,2,2,pennsylvania
232,Wisp,https://www.onthesnow.com/maryland/wisp/ski-resort.html,3115ft,700ft,9,14,10,0,maryland
233,Little Switzerland,https://www.onthesnow.com/wisconsin/little-switzerland/ski-resort.html,1269ft,200ft,7,6,0,5,wisconsin
234,Andes Tower Hills Ski Area,https://www.onthesnow.com/minnesota/andes-tower-hills-ski-area/ski-resort.html,1620ft,290ft,4,1,5,6,minnesota
